"","Compound.Type","Compound.Name","Emperical.Formula","RT..min.","m.z","ionization_form","Fraction1"
"43","Internal Standard","Isethionic Acid, 13C2","C(13)2H6O4S",7.2,"126.9981","[M-H]","HILICNeg"
"44","Organic Acid","Isocitric Acid","C6H8O7",15.65,"191.01918","[M-H]","HILICNeg"
"45","New","Keto-?-(methylthio)butyric acid","C5H7O3S",2.59,"147.011592","[M]","HILICNeg"
"46","Organic Acid","Ketoglutaric Acid","C5H6O5",10.845,"145.0137","[M-H]","HILICNeg"
"47","Internal Standard","L-Cysteic Acid, D3","C3D3H4NO5S",12.15,"171.0161","[M-H]","HILICNeg"
"48","Organic Acid","Lipoic Acid","C8H14O2S2",2.42,"205.035699","[M-H]","HILICNeg"
"49","New2","L-Pyroglutamic acid","C5H7NO3",7.97,"128.034768","[M-H]","HILICNeg"
"50","Organic Acid","Malic Acid","C4H6O5",11.97,"133.0137","[M-H]","HILICNeg"
"51","Co-enzyme A","Malonyl CoA","C24H38N7O19P3S",13.525,"852.107789","[M-H]","HILICNeg"
"52","New2","Maltotetraose","C24H42O21",13.78,"665.21404","[M-H]","HILICNeg"
"53","New2","Maltotriose","C18H32O16",13.03,"503.161215","[M-H]","HILICNeg"
"54","Sulfur","MESNA (Sodium 2-mercaptoethanesulfonate)","C2H5O3S2",2.67,"140.968013","[M]","HILICNeg"
"55","Co-enzyme A","Methyl Malonyl CoA","C25H40N7O19P3S",13.18,"866.123439","[M-H]","HILICNeg"
"56","Organic Acid","Methylphosphonic Acid","CH5O3P",11,"94.989808","[M-H]","HILICNeg"
"57","Sulfur","N-acetyltaurine","C4H9NO4S",3.74,"166.017406","[M-H]","HILICNeg"
"58","Redox","NAD","C21H27N7O14P2",10.6,"662.101304","[M-H]","HILICNeg"
"59","Redox","NADH","C21H27N7O14P2",11.26,"664.116954","[M+H]","HILICNeg"
"60","Redox","NADP","C21H29N7O17P3",12.74,"742.067637","[M-2H]","HILICNeg"
"61","Redox","NADPH","C21H29N7O17P3",13.345,"744.083287","[M]","HILICNeg"
"62","Organic Acid","Orotic Acid","C5H4N2O4",4.195,"155.009283","[M-H]","HILICNeg"
"63","Organic Acid","Oxalic Acid","C2H2O4",13.235,"88.987485","[M-H]","HILICNeg"
"64","Organic Acid","PEP","C3H5O6P",13.865,"166.974553","[M-H]","HILICNeg"
"65","Sugar phosphate","Phosphoglyceric Acid","C3H7O7P",14.755,"184.985118","[M-H]","HILICNeg"
"66","Sulfur","Propanesulfonate","C3H7O3S",2.81,"123.011592","[M]","HILICNeg"
"67","Co-enzyme A","Propionyl CoA","C24H40N7O17P3S",8.83,"822.133609","[M-H]","HILICNeg"
"68","Lignin","Resorcylic Acid","C7H6O4",4.08,"153.018785","[M-H]","HILICNeg"
"69","Redox","Riboflavin Monophosphate","C17H21N4O9P",8.6,"455.096794","[M-H]","HILICNeg"
"70","Sugar phosphate","Ribose 5 phosphate","C5H11O8P",13.29,"229.011333","[M-H]","HILICNeg"
"71","Antioxidant","Salicylic Acid","C7H6O3",2.2,"137.02387","[M-H]","HILICNeg"
"72","Amino Acid synthesis","Shikimic Acid","C7H10O5",10.97,"173.045","[M-H]","HILICNeg"
"73","Organic Acid","Succinic Acid","C4H6O4",11.9,"117.018785","[M-H]","HILICNeg"
"74","Internal Standard","Succinic Acid, D4","C4D4H2O4",11.9,"121.0444","[M-H]","HILICNeg"
"75","Co-enzyme A","Succinyl CoA","C25H40N7O19P3S",12.965,"866.123439","[M-H]","HILICNeg"
"76","New","Sucrose","C12H22O11",11.93,"341.10839","[M-H]","HILICNeg"
"77","Internal Standard","Sucrose, 13C","C(13)12H22O11",11.77,"353.1497","[M-H]","HILICNeg"
"78","Sulfur","Sulfoacetic Acid","C2H4O5S",13.9,"138.970122","[M-H]","HILICNeg"
"79","Internal Standard","Sulfoacetic Acid, 13C2","C(13)2H4O5S",13.9,"140.9774","[M-H]","HILICNeg"
"80","Sulfur","Sulfolactic Acid","C3H6O6S",13.275,"168.980687","[M-H]","HILICNeg"
"81","Internal Standard","Sulfolactic Acid, 13C3","C(13)2H5O4S",13.27,"171.9913","[M-H]","HILICNeg"
"82","Sulfur","Taurine","C2H7NO3S",11.13,"124.006841","[M-H]","HILICNeg"
"83","Internal Standard","Taurine, D4","C2D4H3NO3S",10,"128.0325","[M-H]","HILICNeg"
"84","Nucleoside","Thymidine","C10H14N2O5",3.27,"241.082448","[M-H]","HILICNeg"
"85","Nucleic Acid","Thymine","C5H6N2O2",3.02,"125.035103","[M-H]","HILICNeg"
"86","Antioxidant","Trehalose","C12H22O11",13,"341.10839","[M-H]","HILICNeg"
"87","Internal Standard","Trehalose, 13C","C(13)12H22O11",12.63,"353.1497","[M-H]","HILICNeg"
"88","Nucleotide sugar","UDP-glucosamine","C17H27N3O17P2",12.75,"606.073753","[M-H]","HILICNeg"
"89","Nucleotide sugar","UDP-glucose","C15H24N2O17P2",13.59,"565.047204","[M-H]","HILICNeg"
"90","Nucleic Acid","Uracil","C4H4N2O2",4,"111.019453","[M-H]","HILICNeg"
"91","Nucleoside","Uridine","C9H12N2O6",6.02,"243.061713","[M-H]","HILICNeg"
"92","New3","Succinic semialdehyde","C4H6O3",6.51,"101.02387","[M-H]","HILICNeg"
"93","New3","Sulfanilic Acid","C6H7NO3S",7.23,"172.006841","[M-H]","HILICNeg"
"94","New3","Inosine","C10H12N4O5",7.57,"267.072946","[M-H]","HILICNeg"
"95","New3","Allopurinol","C5H4N4O",4.16,"135.030686","[M-H]","HILICNeg"
"96","New3","Imidazoleacrylic Acid","C6H6N2O2",8.16,"137.035103","[M-H]","HILICNeg"
"97","New3","4-Hydroxyisoleucine","C6H13NO3",8.34,"146.081719","[M-H]","HILICNeg"
"98","New3","Maltose","C12H22O11",12.31,"341.10839","[M-H]","HILICNeg"
"99","New3","Lactose","C12H22O11",12.53,"341.10839","[M-H]","HILICNeg"
"100","New4","Cysteinesulfinic acid","C3H7NO4S",10.74,"152.001756","[M-H]","HILICNeg"
"101","New5","Carnosine","C9H14N4O3",10.47,"225.098766","[M-H]","HILICNeg"
"102","New5","Anserine","C10H16N4O3",8.55,"239.114416","[M-H]","HILICNeg"
"103","New5","N-Acetylmuramic acid","C11H19NO8",3.35,"292.103244","[M-H]","HILICNeg"
"104","New5","Hypoxanthine","C5H4N4O",5.51,"135.030686","[M-H]","HILICNeg"
"105","Internal Standard","Thymine, D4","C5D4H2N2O2",3.06,"129.0602","[M-H]","HILICNeg"
"106","Internal Standard","Uracil, 15N2-D2","C4D2H2N(15)2O2",3.73,"115.0261","[M-H]","HILICNeg"
"107","New6","Threonic acid","C4H8O5",10.37,"135.02935","[M-H]","HILICNeg"
"108","New6","Propionylglycine","C5H9NO3",5.52,"130.050419","[M-H]","HILICNeg"
"109","New6","Acetylglycine","C4H7NO3",7.81,"116.034769","[M-H]","HILICNeg"
"110","New6","Butyrylglycine","C6H11NO3",2.92,"144.066069","[M-H]","HILICNeg"
"111","New6","Glutamylphenylalanine","C14H18N2O5",9.55,"295.129398","[M+H]","HILICNeg"
"112","New6","Acetylglutamic acid","C7H11NO5",11.84,"188.055899 ","[M-H]","HILICNeg"
